transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
121,Rini Plasmans,https://www.transfermarkt.co.uk/rini-plasmans/profil/spieler/243231,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Left Winger,21,-,78/79,['Netherlands'],Feyenoord Rotterdam,Eredivisie,RV &amp; AV Excelsior,Eerste Divisie,€23k
122,Aad Mansveld,https://www.transfermarkt.co.uk/aad-mansveld/profil/spieler/153034,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Sweeper,34,-,78/79,['Netherlands'],Feyenoord Rotterdam,Eredivisie,FC Den Haag,Eredivisie,€23k
123,Alan Shoulder,https://www.transfermarkt.co.uk/alan-shoulder/profil/spieler/978423,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,25,-,78/79,['England'],Blyth Spartans,MISSING VALUE,Newcastle United,Second Division ,€23k
124,Peter McDonnell,https://www.transfermarkt.co.uk/peter-mcdonnell/profil/spieler/676537,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Goalkeeper,25,-,78/79,['England'],Liverpool FC,First Division (- 91/92),Oldham Athletic,Second Division ,€22k
125,Ray Blackhall,https://www.transfermarkt.co.uk/ray-blackhall/profil/spieler/498209,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right-Back,21,-,78/79,['England'],Newcastle United,Second Division ,Sheffield Wednesday,MISSING VALUE,€20k
126,Ray Lugg,https://www.transfermarkt.co.uk/ray-lugg/profil/spieler/700522,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Midfielder,29,-,78/79,['England'],Crewe Alexandra,MISSING VALUE,Bury FC,MISSING VALUE,€19k
127,Winston White,https://www.transfermarkt.co.uk/winston-white/profil/spieler/564930,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Right Midfield,20,-,78/79,['England'],Leicester City,Second Division ,Hereford United (- 2014),MISSING VALUE,€18k
128,Ricky Sbragia,https://www.transfermarkt.co.uk/ricky-sbragia/profil/spieler/672129,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Back,22,-,78/79,['Scotland'],Birmingham City,First Division (- 91/92),Walsall FC,MISSING VALUE,€18k
129,Trevor Lee,https://www.transfermarkt.co.uk/trevor-lee/profil/spieler/1018808,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,24,-,78/79,['England'],Millwall FC,Second Division ,Colchester United,MISSING VALUE,€17k
130,Mick Prendergast,https://www.transfermarkt.co.uk/mick-prendergast/profil/spieler/874346,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,Centre-Forward,27,-,78/79,['England'],Sheffield Wednesday,MISSING VALUE,Barnsley FC,MISSING VALUE,€17k
