transfer_id,player_name,player_page_url,player_image_url,player_position,player_age,player_value_in_euros,season,player_nationalities,old_club_name,old_league_name,new_club_name,new_league_name,transfer_fee_in_euros
39,Nicolas Pépé,https://www.transfermarkt.co.uk/nicolas-pepe/profil/spieler/343052,https://img.a.transfermarkt.technology/portrait/medium/343052-1695671686.png?lm=1,Right Winger,24,65000000,19/20,"[""Cote d'Ivoire"", 'France']",LOSC Lille,Ligue 1,Arsenal FC,Premier League,80000000
40,Kepa Arrizabalaga,https://www.transfermarkt.co.uk/kepa-arrizabalaga/profil/spieler/192279,https://img.a.transfermarkt.technology/portrait/medium/192279-1661855851.jpg?lm=1,Goalkeeper,23,20000000,18/19,['Spain'],Athletic Bilbao,LaLiga,Chelsea FC,Premier League,80000000
41,Victor Osimhen,https://www.transfermarkt.co.uk/victor-osimhen/profil/spieler/401923,https://img.a.transfermarkt.technology/portrait/medium/401923-1661352899.jpg?lm=1,Centre-Forward,21,40000000,20/21,['Nigeria'],LOSC Lille,Ligue 1,SSC Napoli,Serie A,77500000
42,Zinédine Zidane,https://www.transfermarkt.co.uk/zinedine-zidane/profil/spieler/3111,https://img.a.transfermarkt.technology/portrait/medium/3111-1478769687.jpg?lm=1,Attacking Midfield,29,-,01/02,"['France', 'Algeria']",Juventus FC,Serie A,Real Madrid,LaLiga,77500000
43,Kevin De Bruyne,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755,https://img.a.transfermarkt.technology/portrait/medium/88755-1713391485.jpg?lm=1,Attacking Midfield,24,45000000,15/16,['Belgium'],VfL Wolfsburg,Bundesliga,Manchester City,Premier League,76000000
44,Julián Alvarez,https://www.transfermarkt.co.uk/julian-alvarez/profil/spieler/576024,https://img.a.transfermarkt.technology/portrait/medium/576024-1684920938.jpg?lm=1,Centre-Forward,24,90000000,24/25,"['Argentina', 'Italy']",Manchester City,Premier League,Atlético de Madrid,LaLiga,75000000
45,Kai Havertz,https://www.transfermarkt.co.uk/kai-havertz/profil/spieler/309400,https://img.a.transfermarkt.technology/portrait/medium/309400-1683903902.jpg?lm=1,Attacking Midfield,24,55000000,23/24,['Germany'],Chelsea FC,Premier League,Arsenal FC,Premier League,75000000
46,James Rodríguez,https://www.transfermarkt.co.uk/james-rodriguez/profil/spieler/88103,https://img.a.transfermarkt.technology/portrait/medium/88103-1720681352.jpg?lm=1,Attacking Midfield,23,60000000,14/15,"['Colombia', 'Spain']",AS Monaco,Ligue 1,Real Madrid,LaLiga,75000000
47,Ángel Di María,https://www.transfermarkt.co.uk/angel-di-maria/profil/spieler/45320,https://img.a.transfermarkt.technology/portrait/medium/45320-1700648952.jpg?lm=1,Right Winger,26,50000000,14/15,"['Argentina', 'Italy']",Real Madrid,LaLiga,Manchester United,Premier League,75000000
48,Romelu Lukaku,https://www.transfermarkt.co.uk/romelu-lukaku/profil/spieler/96341,https://img.a.transfermarkt.technology/portrait/medium/96341-1661780981.jpg?lm=1,Centre-Forward,26,75000000,19/20,"['Belgium', 'DR Congo']",Manchester United,Premier League,Inter Milan,Serie A,74000000
49,Rasmus Højlund,https://www.transfermarkt.co.uk/rasmus-hojlund/profil/spieler/610442,https://img.a.transfermarkt.technology/portrait/medium/610442-1699471458.jpg?lm=1,Centre-Forward,20,45000000,23/24,['Denmark'],Atalanta BC,Serie A,Manchester United,Premier League,73900000
50,Thomas Lemar,https://www.transfermarkt.co.uk/thomas-lemar/profil/spieler/205562,https://img.a.transfermarkt.technology/portrait/medium/205562-1686662075.jpg?lm=1,Attacking Midfield,22,65000000,18/19,"['France', 'Guadeloupe']",AS Monaco,Ligue 1,Atlético de Madrid,LaLiga,72000000
51,Rúben Dias,https://www.transfermarkt.co.uk/ruben-dias/profil/spieler/258004,https://img.a.transfermarkt.technology/portrait/medium/258004-1684921271.jpg?lm=1,Centre-Back,23,35000000,20/21,['Portugal'],SL Benfica,Liga NOS,Manchester City,Premier League,71600000
52,Casemiro,https://www.transfermarkt.co.uk/casemiro/profil/spieler/16306,https://img.a.transfermarkt.technology/portrait/medium/16306-1699018876.jpg?lm=1,Defensive Midfield,30,40000000,22/23,"['Brazil', 'Spain']",Real Madrid,LaLiga,Manchester United,Premier League,70650000
53,Dominik Szoboszlai,https://www.transfermarkt.co.uk/dominik-szoboszlai/profil/spieler/451276,https://img.a.transfermarkt.technology/portrait/medium/451276-1700209677.jpg?lm=1,Central Midfield,22,50000000,23/24,['Hungary'],RB Leipzig,Bundesliga,Liverpool FC,Premier League,70000000
54,Mykhaylo Mudryk,https://www.transfermarkt.co.uk/mykhaylo-mudryk/profil/spieler/537860,https://img.a.transfermarkt.technology/portrait/medium/537860-1681908631.jpg?lm=1,Left Winger,22,40000000,22/23,['Ukraine'],Shakhtar Donetsk,Premier Liga,Chelsea FC,Premier League,70000000
55,Alexander Isak,https://www.transfermarkt.co.uk/alexander-isak/profil/spieler/349066,https://img.a.transfermarkt.technology/portrait/medium/349066-1680791339.jpg?lm=1,Centre-Forward,22,30000000,22/23,"['Sweden', 'Eritrea']",Real Sociedad,LaLiga,Newcastle United,Premier League,70000000
56,Rodri,https://www.transfermarkt.co.uk/rodri/profil/spieler/357565,https://img.a.transfermarkt.technology/portrait/medium/357565-1682587890.jpg?lm=1,Defensive Midfield,23,80000000,19/20,['Spain'],Atlético de Madrid,LaLiga,Manchester City,Premier League,70000000
